INDEX,DATE,RATE
RPI,2016-07-01,0.019
RPI,2016-08-01,0.018
RPI,2016-09-01,0.02
RPI,2016-10-01,0.02
RPI,2016-11-01,0.022
RPI,2016-12-01,0.025
RPI,2017-01-01,0.026
RPI,2017-02-01,0.032
RPI,2017-03-01,0.031
RPI,2017-04-01,0.035
RPI,2017-05-01,0.037
RPI,2017-06-01,0.035
RPI,2017-07-01,0.036
RPI,2017-08-01,0.039
RPI,2017-09-01,0.039
RPI,2017-10-01,0.04
RPI,2017-11-01,0.039
RPI,2017-12-01,0.041
RPI,2018-01-01,0.04
RPI,2018-02-01,0.036
RPI,2018-03-01,0.033
RPI,2018-04-01,0.034
RPI,2018-05-01,0.033
RPI,2018-06-01,0.034
RPI,2018-07-01,0.032
RPI,2018-08-01,0.035
RPI,2018-09-01,0.033
RPI,2018-10-01,0.033
RPI,2018-11-01,0.032
RPI,2018-12-01,0.027
RPI,2019-01-01,0.025
RPI,2019-02-01,0.025
RPI,2019-03-01,0.024
RPI,2019-04-01,0.03
RPI,2019-05-01,0.03
RPI,2019-06-01,0.029
RPI,2019-07-01,0.028
RPI,2019-08-01,0.026
RPI,2019-09-01,0.024
RPI,2019-10-01,0.021
RPI,2019-11-01,0.022
RPI,2019-12-01,0.022
RPI,2020-01-01,0.027
RPI,2020-02-01,0.025
RPI,2020-03-01,0.026
RPI,2020-04-01,0.015
RPI,2020-05-01,0.01
RPI,2020-06-01,0.011
RPI,2020-07-01,0.016
RPI,2020-08-01,0.005
RPI,2020-09-01,0.011
RPI,2020-10-01,0.013
RPI,2020-11-01,0.009
RPI,2020-12-01,0.012
RPI,2021-01-01,0.014
RPI,2021-02-01,0.014
RPI,2021-03-01,0.015
RPI,2021-04-01,0.029
RPI,2021-05-01,0.033
RPI,2021-06-01,0.039
RPI,2021-07-01,0.038
RPI,2021-08-01,0.048
RPI,2021-09-01,0.049
RPI,2021-10-01,0.06
RPI,2021-11-01,0.071
RPI,2021-12-01,0.075
RPI,2022-01-01,0.078
RPI,2022-02-01,0.082
RPI,2022-03-01,0.09
RPI,2022-04-01,0.111
RPI,2022-05-01,0.117
RPI,2022-06-01,0.118
RPI,2022-07-01,0.123
RPI,2022-08-01,0.123
RPI,2022-09-01,0.126
RPI,2022-10-01,0.142
RPI,2022-11-01,0.14
RPI,2022-12-01,0.134
RPI,2023-01-01,0.134
RPI,2023-02-01,0.138
RPI,2023-03-01,0.135
RPI,2023-04-01,0.114
RPI,2023-05-01,0.113
RPI,2023-06-01,0.107
RPI,2023-07-01,0.09
RPI,2023-08-01,0.091
RPI,2023-09-01,0.089
RPI,2023-10-01,0.061
RPI,2023-11-01,0.053
RPI,2023-12-01,0.052
RPI,2024-01-01,0.049
RPI,2024-02-01,0.045
RPI,2024-03-01,0.043
RPI,2024-04-01,0.033
RPI,2024-05-01,0.03
RPI,2024-06-01,0.029
CPI,1989-01-01,0.049
CPI,1989-02-01,0.05
CPI,1989-03-01,0.05
CPI,1989-04-01,0.053
CPI,1989-05-01,0.053
CPI,1989-06-01,0.052
CPI,1989-07-01,0.052
CPI,1989-08-01,0.05
CPI,1989-09-01,0.052
CPI,1989-10-01,0.055
CPI,1989-11-01,0.055
CPI,1989-12-01,0.055
CPI,1990-01-01,0.057
